aproveitar,#aproveita#,aproveito,#aproveitu#
encostar,#enkosta#,encosto,#enkOstu#
retornar,#hetorna#,retorno,#hetOrnu#
postar,#posta#,posto,#pOstu#
olhar,#olia#,olho,#Oliu#
colocar,#koloka#,coloco,#kolOku#
informar,#informa#,informo,#infOrmu#
tornar,#torna#,torno,#tOrnu#
boiar,#boia#,boio,#bOiu#
botar,#bota#,boto,#bOtu#
tocar,#toka#,toco,#tOku#
focar,#foka#,foco,#fOku#
mostrar,#mostra#,mostro,#mOstru#
chorar,#xora#,choro,#xOru#
tostar,#tostar#,tosto,#tOstu#
trocar,#troka#,troco,#trOku#
robocar,#heboka#,reboco,#hebOku#
cocar,#kosa#,coco,#kOsu#
tomar,#toma#,tomo,#tOmu#
recortar,#hekorta#,#recorto,#hekOrtu#
entortar,#entorta#,entorto,#entOrtu#
encostar,#enkosta#,encosto,#enkOstu#
retornar,#hetorna#,retorno,#hetOrnu#
postar,#posta#,posto,#pOstu#
olhar,#olia#,olho,#Oliu#
colocar,#koloka#,coloco,#kolOku#
informar,#informa#,informo,#infOrmu#
tornar,#torna#,torno,#tOrnu#
boiar,#boia#,boio,#bOiu#
botar,#bota#,boto,#bOtu#
tocar,#toka#,toco,#tOku#
focar,#foka#,foco,#fOku#
mostrar,#mostra#,mostro,#mOstru#
chorar,#xora#,choro,#xOru#
tostar,#tostar#,tosto,#tOstu#
trocar,#troka#,troco,#trOku#
robocar,#heboka#,reboco,#hebOku#
cocar,#kosa#,coco,#kOsu#
tomar,#toma#,tomo,#tOmu#
recortar,#hekorta#,#recorto,#hekOrtu#
entortar,#entorta#,entorto,#entOrtu#
encostar,#enkosta#,encosto,#enkOstu#
retornar,#hetorna#,retorno,#hetOrnu#
postar,#posta#,posto,#pOstu#
olhar,#olia#,olho,#Oliu#
colocar,#koloka#,coloco,#kolOku#
informar,#informa#,informo,#infOrmu#
tornar,#torna#,torno,#tOrnu#
boiar,#boia#,boio,#bOiu#
botar,#bota#,boto,#bOtu#
tocar,#toka#,toco,#tOku#
focar,#foka#,foco,#fOku#
mostrar,#mostra#,mostro,#mOstru#
chorar,#xora#,choro,#xOru#
tostar,#tostar#,tosto,#tOstu#
trocar,#troka#,troco,#trOku#
robocar,#heboka#,reboco,#hebOku#
cocar,#kosa#,coco,#kOsu#
tomar,#toma#,tomo,#tOmu#
recortar,#hekorta#,#recorto,#hekOrtu#
